NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_R2,HeatRateQM_R2,BusName,NCOST,cost_1,cost_0
Stony Brook   (BTM:NG),24151,K,Combustion Turbine,Natural Gas,40.9168,-73.1292,46,30,0.408333333,4.083333333,12.25,24.5,0.505807403,0.505769655,80,1,27.76356074,230.0372536
Syracuse,23985,C,Combined Cycle,Natural Gas,43.0667,-76.2246,102,14,0.683333333,6.833333333,20.5,41,0.92762095,0.961212056,51,1,16.62494521,333.6784786
Vernon Blvd 2,24162,J,Combustion Turbine,Natural Gas,40.7539,-73.9506,43,18.5,0.533333333,5.333333333,16,32,0.838109034,0.839825674,82,1,57.23896136,-1188.614054
Vernon Blvd 3,24163,J,Combustion Turbine,Natural Gas,40.7539,-73.9506,42,15,0.558333333,5.583333333,16.75,33.5,0.893510483,0.9358018,82,1,50.43686048,-933.1523896
Wading River 1,23522,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,102,9,1.258333333,12.58333333,37.75,75.5,0.960068573,0.967170164,80,1,187.4727664,-76.75864812
Wading River 2,23547,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,94,7.8,1.35,13.5,40.5,81,0.981323151,0.982888703,80,1,196.3007812,-480.8571792
Wading River 3,23601,K,Combustion Turbine,Fuel Oil 2,40.9569,-72.8774,94,4,1.333333333,13.33333333,40,80,0.822005195,0.821056656,80,1,178.3003963,-170.1872849
West Babylon 4,23714,K,Combustion Turbine,Fuel Oil 2,40.6953,-73.3497,65,3,0.808333333,8.083333333,24.25,48.5,0.989745265,0.993618784,79,1,195.5499231,232.2418906
59 St.  GT 1,24138,J,Combustion Turbine,Kerosene,40.772385,-73.993028,17.1,0,0.285,2.85,8.55,17.1,0,0,82,1,195.33105,0
74 St.  GT 1,24260,J,Combustion Turbine,Kerosene,40.768421,-73.951731,18.5,0,0.308333333,3.083333333,9.25,18.5,0,0,82,1,195.33105,0
74 St.  GT 2,24261,J,Combustion Turbine,Kerosene,40.768421,-73.951731,18.5,0,0.308333333,3.083333333,9.25,18.5,0,0,82,1,195.33105,0
Allied Frozen Storage,23774,A,Internal Combustion,Natural Gas,42.842029,-78.722673,0.1,0,0.001666667,0.016666667,0.05,0.1,0,0,55,1,24.56124,0
Arthur Kill Cogen,323718,J,Internal Combustion,Natural Gas,40.5915,-74.2027,11.1,0,0.185,1.85,5.55,11.1,0,0,82,1,25.98508,0
Arthur Kill GT 1,23520,J,Combustion Turbine,Natural Gas,40.5915,-74.2027,20,0,0.333333333,3.333333333,10,20,0,0,82,1,32.40616,0
Astoria GT 01,23523,J,Combustion Turbine,Natural Gas,40.7864,-73.9133,16,0,0.266666667,2.666666667,8,16,0,0,82,1,32.40616,0
Barrett 09,23700,K,Jet Engine,Natural Gas,40.616689,-73.647881,41.8,0,0.696666667,6.966666667,20.9,41.8,0,0,79,1,33.95988,0
Barrett 10,23701,K,Jet Engine,Natural Gas,40.616689,-73.647881,41.8,0,0.696666667,6.966666667,20.9,41.8,0,0,79,1,33.95988,0
Barrett 11,23702,K,Jet Engine,Natural Gas,40.616689,-73.647881,41.8,0,0.696666667,6.966666667,20.9,41.8,0,0,79,1,33.95988,0
Barrett 12,23703,K,Jet Engine,Natural Gas,40.616689,-73.647881,41.8,0,0.696666667,6.966666667,20.9,41.8,0,0,79,1,33.95988,0
Binghamton (RET - 1/9/18),23790,C,Combined Cycle,Natural Gas,42.107192,-75.927782,47.7,0,0.795,7.95,23.85,47.7,0,0,71,1,21.06708,0
